Release 8.1i - Fit P.68d
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 8-19-2016  0:57AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  RAMCtrl.ngd
output file: RAMCtrl_pad.csv
Part type:   xc95144xl
Speed grade: -10
Package:     tq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,nAS,I,I/O/GTS3,INPUT,,,,,,,,,
P2,IDE_DIR,O,I/O/GTS4,OUTPUT,,,,,,,,,
P3,A<25>,I,I/O/GTS1,INPUT,,,,,,,,,
P4,SIZ<1>,I,I/O/GTS2,INPUT,,,,,,,,,
P5,VCC,,VCCINT,,,,,,,,,,
P6,SIZ<0>,I,I/O,INPUT,,,,,,,,,
P7,ROM_WE,O,I/O,OUTPUT,,,,,,,,,
P8,ROM_EN,O,I/O,OUTPUT,,,,,,,,,
P9,nDS,I,I/O,INPUT,,,,,,,,,
P10,RW,I,I/O,INPUT,,,,,,,,,
P11,nRAM_SEL,O,I/O,OUTPUT,,,,,,,,,
P12,DSACK<1>,O,I/O,OUTPUT,,,,,,,,,
P13,DSACK<0>,O,I/O,OUTPUT,,,,,,,,,
P14,BYTE<0>,O,I/O,OUTPUT,,,,,,,,,
P15,BYTE<1>,O,I/O,OUTPUT,,,,,,,,,
P16,ROM_OE,O,I/O,OUTPUT,,,,,,,,,
P17,BYTE<3>,O,I/O,OUTPUT,,,,,,,,,
P18,BYTE<2>,O,I/O,OUTPUT,,,,,,,,,
P19,TIE,,I/O,,,,,,,,,,
P20,D<3>,I/O,I/O,BIDIR,,,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,clk,GCK,I/O/GCK1,,,,,,,,,,
P23,TIE,,I/O/GCK2,,,,,,,,,,
P24,TIE,,I/O,,,,,,,,,,
P25,D<2>,I/O,I/O,BIDIR,,,,,,,,,
P26,VCC,,VCCIO,,,,,,,,,,
P27,TIE,,I/O/GCK3,,,,,,,,,,
P28,D<0>,I/O,I/O,BIDIR,,,,,,,,,
P29,D<1>,I/O,I/O,BIDIR,,,,,,,,,
